Company,TypeName,Ram,Memory,Gpu,OpSys,Weight,Price,Tochscreen,IPS,CPU,HDD,SSD,PPI
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.88,96363,0,1,Intel Core i5,0,256,141.21
Apple,Ultrabook,8,512 SSD,Intel,Mac OS,0.92,132744,0,1,Intel Core i5,0,512,226.42
HP,Notebook,8,256 SSD,Intel,Windows 10,1.63,75602,0,0,Intel Core i5,0,256,157.35
Lenovo,Notebook,4,128 SSD,AMD,Windows 10,2.2,35076,0,0,AMD A Series,0,128,141.21
Acer,Notebook,4,1000 HDD,AMD,Windows 10,2.1,34724,0,0,AMD A Series,1000,0,100.45
Dell,Gaming,16,128 SSD +  1000 HDD,Nvidia,Windows 10,2.65,118590,0,1,Intel Core i7,1000,128,141.21
HP,Ultrabook,8,256 SSD,Nvidia,Windows 10,1.83,61449,0,1,Intel Core i7,0,256,141.21
HP,Notebook,8,256 SSD,Intel,Windows 10,1.96,52657,0,0,Intel Core i5,0,256,141.21
Asus,Gaming,16,128 SSD +  1000 HDD,Nvidia,Windows 10,2.2,127381,0,1,Intel Core i7,1000,128,141.21
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.21,144963,0,1,Intel Core i7,0,256,165.63
Asus,Gaming,8,1000 HDD,AMD,Windows 10,2.45,61449,0,0,AMD F Series,1000,0,141.21
Acer,Notebook,8,1000 HDD,Nvidia,Windows 10,2.2,60569,0,0,Intel Core i7,1000,0,141.21
HP,Notebook,16,512 SSD,Intel,Windows 10,1.49,105228,0,0,Intel Core i7,0,512,165.63
Dell,Gaming,8,256 SSD,Nvidia,Windows 10,2.65,105052,0,0,Intel Core i5,0,256,141.21
Asus,Ultrabook,8,256 SSD,Intel,Windows 10,1.25,92217,0,0,Intel Core i7,0,256,157.35
Acer,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.5,74459,1,1,Intel Core i5,0,256,165.63
Dell,Notebook,8,1000 HDD,AMD,Linux/Android/Chrome OS,2.2,52737,0,0,Intel Core i7,1000,0,141.21
Dell,Notebook,4,256 SSD,AMD,Linux/Android/Chrome OS,2.2,42636,0,0,Intel Core i3,0,256,141.21
Asus,Notebook,6,256 SSD,Nvidia,Windows 10,2.0,50724,0,0,Intel Core i3,0,256,141.21
HP,Gaming,12,128 SSD +  1000 HDD,Nvidia,Windows 10,2.62,109799,0,1,Intel Core i7,1000,128,141.21
HP,Notebook,8,256 SSD,AMD,Windows 10,1.91,63207,0,0,Intel Core i7,0,256,141.21
HP,Notebook,4,500 HDD,AMD,Windows 10,2.1,30680,0,0,AMD E Series,500,0,141.21
Dell,Notebook,8,1000 HDD,AMD,Linux/Android/Chrome OS,2.2,56877,0,0,Intel Core i5,1000,0,141.21
HP,Ultrabook,8,256 SSD,Nvidia,Windows 10,1.38,98371,0,1,Intel Core i7,0,256,165.63
HP,Notebook,6,256 SSD,Nvidia,Windows 10,1.58,57932,0,1,Intel Core i5,0,256,157.35
Lenovo,Notebook,4,1000 HDD,Intel,Windows 10,1.85,36473,0,0,Intel Core i3,1000,0,141.21
Asus,Ultrabook,8,256 SSD,Nvidia,Windows 10,1.3,104876,0,1,Intel Core i7,0,256,157.35
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.2,114195,0,0,Intel Core i7,1000,256,141.21
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,1.58,130106,0,1,Intel Core i7,0,256,157.35
Asus,Ultrabook,16,256 SSD +  1000 HDD,Nvidia,Windows 10,1.5,110942,0,0,Intel Core i7,1000,256,141.21
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.23,121227,1,0,Intel Core i7,0,256,276.05
Lenovo,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.37,122986,1,1,Intel Core i5,0,256,165.63
HP,Notebook,4,500 HDD,Intel,Windows 10,1.63,63471,0,1,Intel Core i5,500,0,111.94
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.21,143205,0,1,Intel Core i5,0,256,165.63
HP,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.26,122985,1,1,Intel Core i5,0,256,165.63
HP,Notebook,8,512 SSD,Intel,Windows 10,1.63,95294,0,0,Intel Core i7,0,512,157.35
Dell,Notebook,8,256 SSD +  1000 HDD,Nvidia,Windows 10,2.16,99367,0,1,Intel Core i7,1000,256,141.21
Asus,Notebook,4,1000 HDD,Nvidia,Windows 10,2.0,49581,0,0,Intel Core i3,1000,0,127.34
Asus,Notebook,8,256 SSD,Nvidia,Windows 10,1.7,98283,0,0,Intel Core i7,0,256,141.21
Acer,Notebook,6,1000 HDD,Intel,Windows 10,2.1,42108,1,1,Intel Core i3,1000,0,141.21
MSI,Gaming,16,256 SSD +  2000 HDD,Nvidia,Windows 10,1.8,197050,0,0,Intel Core i7,2000,256,141.21
Lenovo,Notebook,8,256 SSD,Nvidia,No OS,2.2,55295,0,0,Intel Core i5,0,256,141.21
HP,Notebook,16,512 SSD,Nvidia,Windows 10,2.5,111733,0,0,Intel Core i7,0,512,127.34
Acer,Notebook,4,256 SSD,AMD,Windows 10,2.1,39647,0,0,AMD A Series,0,256,100.45
HP,Notebook,4,500 HDD,Intel,No OS,1.86,22768,0,0,Intel Celeron,500,0,100.45
HP,Notebook,8,1000 HDD,Intel,Windows 10,1.63,71382,0,0,Intel Core i5,1000,0,157.35
Asus,Notebook,4,64 SSD,AMD,Windows 10,1.65,24438,0,0,AMD E Series,0,64,111.94
Dell,Notebook,16,256 SSD +  2000 HDD,AMD,Windows 10,2.8,122722,0,0,Intel Core i7,2000,256,127.34
HP,Notebook,8,256 SSD,Intel,Windows 10,2.5,81580,0,0,Intel Core i5,0,256,127.34
Dell,Notebook,8,1000 HDD,AMD,Windows 10,2.36,56173,0,0,Intel Core i5,1000,0,100.45
Dell,Notebook,4,1000 HDD,AMD,Windows 10,2.2,39471,0,0,Intel Core i3,1000,0,141.21
Acer,Ultrabook,8,256 SSD,Intel,Windows 10,1.6,77712,0,1,Intel Core i7,0,256,157.35
Acer,Notebook,4,256 SSD,Nvidia,Windows 10,2.2,50284,0,0,Intel Core i3,0,256,141.21
HP,Notebook,8,1000 HDD,Intel,Windows 10,2.05,52570,0,0,Intel Core i7,1000,0,100.45
HP,Notebook,8,256 SSD,Intel,Windows 10,1.63,86855,0,0,Intel Core i7,0,256,157.35
Lenovo,Notebook,4,1000 HDD,Intel,No OS,1.9,22184,0,0,Intel Celeron,1000,0,100.45
Asus,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,3.0,82459,0,0,Intel Core i5,1000,128,127.34
Lenovo,Notebook,4,1000 HDD,Nvidia,No OS,2.2,43867,0,0,Intel Core i5,1000,0,141.21
HP,Notebook,4,256 SSD,Intel,Windows 10,1.32,61449,0,1,Intel Core i5,0,256,165.63
Acer,Notebook,4,1000 HDD,Nvidia,Windows 10,3.0,57581,0,1,Intel Core i3,1000,0,127.34
Lenovo,Notebook,8,256 SSD,AMD,Windows 10,1.75,98109,0,1,Intel Core i5,0,256,157.35
Lenovo,Gaming,8,256 SSD,Nvidia,No OS,2.4,76393,0,1,Intel Core i7,0,256,141.21
Toshiba,Notebook,4,500 HDD,Intel,Windows 10,2.1,52921,0,0,Intel Core i5,500,0,100.45
HP,Notebook,4,256 SSD,AMD,Windows 10,1.86,32438,0,0,AMD A Series,0,256,100.45
Asus,Ultrabook,8,256 SSD,Intel,Windows 10,1.25,96613,0,0,Intel Core i7,0,256,157.35
HP,Ultrabook,8,512 SSD,Intel,Windows 10,0.97,177050,1,1,Intel Core M,0,512,352.47
Asus,Notebook,4,1000 HDD,Intel,Windows 10,2.0,30241,0,0,Intel Celeron,1000,0,141.21
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.9,178369,0,0,Intel Core i7,1000,256,127.34
Acer,Notebook,4,1000 HDD,Intel,Windows 10,2.1,39295,0,0,Intel Core i3,1000,0,100.45
Dell,Gaming,16,512 SSD,Nvidia,Windows 10,2.56,109822,0,0,Intel Core i7,0,512,141.21
Dell,Gaming,8,1.0000 Hybrid,Nvidia,Windows 10,2.62,79031,0,0,Intel Core i7,0,0,141.21
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,1.9,43779,0,0,Intel Core i5,0,128,100.45
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.8,166149,0,0,Intel Core i7,1000,256,127.34
HP,Ultrabook,4,256 SSD,Intel,Windows 10,1.48,95118,0,0,Intel Core i5,0,256,157.35
HP,Notebook,6,256 SSD,AMD,Windows 10,1.91,54416,0,0,Intel Core i5,0,256,141.21
Lenovo,2 in 1 Convertible,4,256 SSD,Intel,Windows 10,1.74,55295,1,1,Intel Core i3,0,256,157.35
Asus,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.1,115601,1,0,Intel Core i5,0,256,165.63
Dell,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.56,92217,1,0,Intel Core i7,0,256,141.21
Toshiba,Notebook,4,500 HDD,Intel,Windows 10,2.1,39295,0,0,Intel Core i3,500,0,100.45
Asus,Notebook,4,1000 HDD,AMD,Windows 10,2.03,35427,0,0,AMD A Series,1000,0,100.45
Acer,Notebook,4,256 SSD,Nvidia,Windows 10,3.0,70767,0,1,Intel Core i5,0,256,127.34
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.13,63998,0,0,Intel Core i5,0,256,141.21
Lenovo,Gaming,16,256 SSD,Nvidia,Windows 10,2.5,94854,0,1,Intel Core i7,0,256,141.21
Acer,Notebook,4,1000 HDD,Intel,Windows 10,2.1,30592,0,0,Intel Celeron,1000,0,100.45
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.4,158150,0,1,Intel Core i7,1000,256,141.21
Acer,Notebook,4,1000 HDD,Intel,Windows 10,2.1,31956,0,0,Intel Pentium,1000,0,100.45
Dell,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.56,93227,0,0,Intel Core i7,1000,128,141.21
Acer,Notebook,8,256 SSD,Nvidia,Windows 10,3.0,75075,0,1,Intel Core i5,0,256,127.34
HP,Notebook,4,500 HDD,Intel,Windows 10,1.49,66284,0,1,Intel Core i5,500,0,165.63
HP,Notebook,6,2000 HDD,AMD,Windows 10,2.71,61449,0,1,Intel Core i5,2000,0,127.34
Lenovo,Notebook,4,500 HDD,AMD,No OS,2.2,27164,0,0,AMD A Series,500,0,100.45
Toshiba,Notebook,4,500 HDD,Intel,Windows 10,2.0,42987,0,0,Intel Core i3,500,0,100.45
HP,Notebook,8,256 SSD,Nvidia,Windows 10,2.5,81140,0,0,Intel Core i5,0,256,127.34
Dell,Notebook,8,1000 HDD,Intel,Windows 10,2.3,40350,0,0,Intel Core i3,1000,0,100.45
Acer,Notebook,4,128 SSD,Intel,Windows 10,2.1,39471,0,0,Intel Core i3,0,128,100.45
MSI,Gaming,32,512 SSD +  1000 HDD,Nvidia,Windows 10,4.4,246060,0,0,Intel Core i7,1000,512,119.72
Lenovo,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,1.9,71470,0,0,Intel Core i5,1000,128,141.21
HP,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.29,131777,1,1,Intel Core i5,0,256,331.26
Dell,Notebook,16,256 SSD +  2000 HDD,AMD,Linux/Android/Chrome OS,2.02,92217,0,0,Intel Core i7,2000,256,141.21
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.23,122986,0,0,Intel Core i5,0,256,165.63
Lenovo,2 in 1 Convertible,16,512 SSD,Intel,Windows 10,1.4,162545,1,1,Intel Core i7,0,512,316.97
Toshiba,Notebook,8,128 SSD,Intel,Windows 10,2.0,69712,0,0,Intel Core i5,0,128,100.45
Dell,Notebook,16,512 SSD,Nvidia,Windows 10,2.77,136172,1,0,Intel Core i7,0,512,127.34
Dell,Notebook,16,512 SSD,Nvidia,Windows 10,2.06,210720,1,0,Intel Core i7,0,512,282.42
Lenovo,Gaming,8,256 SSD,Nvidia,No OS,2.4,68481,0,1,Intel Core i5,0,256,141.21
Acer,Ultrabook,8,256 SSD,Intel,Windows 10,1.12,86942,0,1,Intel Core i5,0,256,165.63
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.8,95382,0,0,Intel Core i7,1000,128,127.34
Lenovo,2 in 1 Convertible,16,1000 SSD,Intel,Windows 10,1.42,248257,1,0,Intel Core i7,0,1000,209.8
Lenovo,Notebook,8,256 SSD,Nvidia,No OS,2.8,61361,0,0,Intel Core i5,0,256,106.11
Dell,2 in 1 Convertible,8,1000 HDD,Intel,Windows 10,1.62,73756,1,1,Intel Core i7,1000,0,165.63
HP,Notebook,8,1000 HDD,Nvidia,Windows 10,2.5,80349,0,1,Intel Core i5,1000,0,127.34
HP,Notebook,8,512 SSD,Intel,Windows 10,1.49,84305,0,0,Intel Core i5,0,512,165.63
HP,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,3.35,121227,0,1,Intel Core i7,1000,256,127.34
HP,Notebook,8,256 SSD,Nvidia,Windows 10,2.5,91865,0,0,Intel Core i7,0,256,127.34
Dell,Gaming,16,512 SSD +  1000 HDD,Nvidia,Windows 10,2.65,162193,0,1,Intel Core i7,1000,512,282.42
Lenovo,Notebook,4,128 SSD,Intel,Windows 10,2.1,43339,0,0,Intel Core i5,0,128,100.45
Acer,Notebook,8,1000 HDD,Nvidia,Windows 10,2.23,65229,0,0,Intel Core i7,1000,0,141.21
Lenovo,Gaming,16,512 SSD +  1000 HDD,Nvidia,Windows 10,3.2,153754,0,1,Intel Core i7,1000,512,141.21
Dell,Workstation,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.8,268565,0,0,Intel Xeon,1000,256,282.42
Lenovo,Gaming,16,512 SSD,Nvidia,No OS,2.4,122898,0,0,Intel Core i7,0,512,141.21
Dell,Notebook,6,1000 HDD,Intel,Windows 10,2.3,38592,1,0,Intel Core i3,1000,0,100.45
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.21,171336,1,1,Intel Core i7,0,256,331.26
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.2,127381,0,0,Intel Core i7,0,256,165.63
Lenovo,Notebook,8,256 SSD,Intel,Windows 10,2.2,52482,0,0,Intel Core i5,0,256,100.45
Acer,Notebook,8,1000 HDD,Nvidia,Linux/Android/Chrome OS,2.4,68481,0,0,Intel Core i7,1000,0,141.21
Asus,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.9,123689,0,0,Intel Core i7,1000,256,127.34
HP,Notebook,4,500 HDD,Intel,No OS,2.1,30680,0,0,Intel Core i3,500,0,141.21
Lenovo,Notebook,8,256 SSD,Intel,No OS,2.2,48262,0,0,Intel Core i5,0,256,141.21
Dell,Ultrabook,8,256 SSD,AMD,Windows 10,1.4,81921,0,1,Intel Core i7,0,256,165.63
Lenovo,Notebook,8,1000 HDD,Nvidia,No OS,2.8,51778,0,0,Intel Core i5,1000,0,106.11
HP,Notebook,8,256 SSD,Nvidia,Windows 10,1.63,90635,0,0,Intel Core i7,0,256,157.35
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.6,101008,0,0,Intel Core i5,0,256,157.35
Dell,2 in 1 Convertible,16,512 SSD,Intel,Windows 10,1.62,112436,1,0,Intel Core i7,0,512,165.63
Dell,Notebook,8,256 SSD,AMD,Linux/Android/Chrome OS,2.2,59545,0,0,Intel Core i5,0,256,141.21
Lenovo,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.74,79031,0,1,Intel Core i5,0,256,157.35
Toshiba,Ultrabook,8,256 SSD,Intel,Windows 10,1.2,119821,0,0,Intel Core i7,0,256,165.63
HP,Notebook,8,1000 HDD,Intel,Windows 10,2.1,69800,0,0,Intel Core i5,1000,0,141.21
Dell,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,4.42,215936,0,1,Intel Core i7,1000,256,127.34
Acer,Notebook,8,256 SSD,Nvidia,Windows 10,2.2,73141,0,0,Intel Core i7,0,256,141.21
Dell,Notebook,16,1000 HDD,AMD,Windows 10,2.3,75515,1,0,Intel Core i7,1000,0,141.21
Asus,Notebook,8,256 SSD,Nvidia,Windows 10,2.0,67602,0,0,Intel Core i5,0,256,141.21
Asus,Notebook,8,256 SSD +  500 HDD,Nvidia,Windows 10,2.69,78327,0,0,Intel Core i5,500,256,127.34
HP,Notebook,8,1000 HDD,AMD,Windows 10,1.9,111557,0,0,Intel Core i7,1000,0,141.21
Asus,Notebook,4,1000 HDD,Intel,Windows 10,2.37,35075,0,0,Intel Core i3,1000,0,100.45
HP,Notebook,4,500 HDD,AMD,Windows 10,2.1,29010,0,0,AMD E Series,500,0,100.45
Lenovo,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,3.2,131777,0,1,Intel Core i7,1000,256,141.21
Dell,Notebook,8,256 SSD,Intel,Windows 10,1.6,75514,0,0,Intel Core i5,0,256,157.35
Acer,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.6,60569,1,1,Intel Core i5,0,256,165.63
Dell,Notebook,16,256 SSD,AMD,Linux/Android/Chrome OS,2.36,79031,0,0,Intel Core i7,0,256,141.21
Acer,Notebook,4,1000 HDD,Intel,Linux/Android/Chrome OS,2.1,34284,0,0,Intel Core i3,1000,0,100.45
Asus,Notebook,4,128 SSD +  1000 HDD,AMD,Windows 10,2.2,50548,0,0,AMD A Series,1000,128,141.21
Asus,Gaming,32,512 SSD +  1000 HDD,Nvidia,Windows 10,4.7,341969,0,0,Intel Core i7,1000,512,127.34
Acer,Gaming,8,256 SSD,Nvidia,Windows 10,2.5,74371,0,1,Intel Core i5,0,256,141.21
Lenovo,Notebook,8,128 SSD,Intel,Windows 10,2.2,51778,0,0,Intel Core i3,0,128,100.45
Asus,Notebook,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.1,100656,0,0,Intel Core i7,1000,128,127.34
Asus,Notebook,8,128 SSD +  1000 HDD,Nvidia,No OS,2.69,78151,0,0,Intel Core i7,1000,128,127.34
Dell,Gaming,8,256 SSD,Nvidia,Windows 10,2.56,77272,0,0,Intel Core i5,0,256,141.21
Lenovo,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.38,94854,1,1,Intel Core i7,0,256,158.48
Dell,Notebook,8,128 SSD +  2000 HDD,AMD,Windows 10,2.2,86591,0,0,Intel Core i7,2000,128,141.21
HP,Notebook,8,1000 HDD,Intel,Windows 10,2.04,49141,1,0,Intel Core i5,1000,0,100.45
Asus,Gaming,16,256 SSD,Nvidia,Windows 10,3.6,263642,0,0,Intel Core i7,0,256,127.34
HP,Notebook,4,500 HDD,Intel,Windows 10,1.49,59339,0,1,Intel Core i5,500,0,165.63
